"palabra","idioma"
"sides","english"
"since","english"
"small","english"
"smaller","english"
"smallest","english"
"some","english"
"somebody","english"
"someone","english"
"something","english"
"somewhere","english"
"state","english"
"states","english"
"still","english"
"still","english"
"such","english"
"sure","english"
"take","english"
"taken","english"
"than","english"
"that","english"
"the","english"
"their","english"
"them","english"
"then","english"
"there","english"
"therefore","english"
"these","english"
"they","english"
"thing","english"
"things","english"
"think","english"
"thinks","english"
"this","english"
"those","english"
"though","english"
"thought","english"
"thoughts","english"
"three","english"
"through","english"
"thus","english"
"to","english"
"today","english"
"together","english"
"too","english"
"took","english"
"toward","english"
"turn","english"
"turned","english"
"turning","english"
"turns","english"
"two","english"
"under","english"
"until","english"
"up","english"
"upon","english"
"us","english"
"use","english"
"used","english"
"uses","english"
"very","english"
"want","english"
"wanted","english"
"wanting","english"
"wants","english"
"was","english"
"way","english"
"ways","english"
"we","english"
"well","english"
"wells","english"
"went","english"
"were","english"
"what","english"
"when","english"
"where","english"
"whether","english"
"which","english"
"while","english"
"who","english"
"whole","english"
"whose","english"
"why","english"
"will","english"
"with","english"
"within","english"
"without","english"
"work","english"
"worked","english"
"working","english"
"works","english"
"would","english"
"year","english"
"years","english"
"yet","english"
"you","english"
"young","english"
"younger","english"
"yours","english"
"youngest","english"
"your","english"
"yours1","english"
"yours2","english"
